ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile
Ant,What are the three segments of an ant?,"The head, mesosoma and metasoma are the three distinct body segments.",medium,hard,data/set1/a1
Ant,What are the ant colonies that lack queens called?,Colonies that lack queens are called gamergate colonies.,medium,medium,data/set1/a1
Ant,Where are bullet ants located?,Bullet ants are located in Central and South America.,medium,medium,data/set1/a1
Ant,Do ants belong to the same order as bees?,"Yes, ants belong to the same order as bees.",hard,medium,data/set1/a1
Ant,What is the most common color of ants?,Most ants are red or black.,hard,hard,data/set1/a1
Ant,Do all ants build nests?,"No, not all ants build nests.",hard,medium,data/set1/a1
Antwerp,Is Antwerp a city?,Yes,easy,easy,data/set3/a4
Antwerp,Is Antwerp a municipality?,Yes,easy,easy,data/set3/a4
Antwerp,Is Antwerp in Belgium?,Yes,easy,easy,data/set3/a4
Antwerp,What is Antwerp?,Antwerp is a city and municipality in Belgium.,medium,easy,data/set3/a4
Antwerp,What is the population of the city of Antwerp?,"Antwerp's population is 472,071.",medium,medium,data/set3/a4
Antwerp,Where is the city of Antwerp?,Antwerp is in Belgium,medium,medium,data/set3/a4
Antwerp,Why is Antwerp important to fashion?,Yes,hard,medium,data/set3/a4
Antwerp,Antwerp is to the east of what river?,Antwerp is to the east of the Scheldt river,hard,too hard,data/set3/a4
Antwerp,How many municipalities does Antwerp have?,"None, Antwerp is a municipality.",hard,medium,data/set3/a4
Arabic_language,Is Arabic a Central Semitic language?,Yes,easy,easy,data/set5/a3
Arabic_language,Was Arabic a major vehicle of culture in Europe?,Yes,easy,easy,data/set5/a3
Arabic_language,Is Arabic classified alongside Semitic languages?,Yes,easy,easy,data/set5/a3
Arabic_language,How many people speak the Arabic language?,280 million people.,medium,easy,data/set5/a3
Arabic_language,When was Arabic calligraphy invented?,Many styles were developed after 786.,medium,hard,data/set5/a3
Arabic_language,Where is Arabic spoken?,The Middle East and North Africa,medium,medium,data/set5/a3
Arabic_language,Why is Arabic related to Islam?,Arabic is the liturgical language of Islam,hard,hard,data/set5/a3
Arabic_language,Why does Arabic heavily influence European languages?,"Arabic was a major vehicle of culture in Europe, and the Arab and European civilizations are geographically close.",hard,hard,data/set5/a3
Arabic_language,Is Arabic the largest member of the Semitic language family?,yes,easy,easy,data/set5/a3
Arabic_language,Does Modern Standard Arabic continue to evolve like other languages?,yes,easy,easy,data/set5/a3
Arabic_language,Is Hassaniya Arabic spoken in Mauritania?,yes,easy,easy,data/set5/a3
Arabic_language,What is the only variety of modern Arabic that has acquired official language status?,maltese,medium,medium,data/set5/a3
Arabic_language,Egyptian Arabic is spoken by how many in Egypt?,76 million,medium,medium,data/set5/a3
Arabic_language,Where are the Western Arabic numerals used?,North Africa,medium,medium,data/set5/a3
Arabic_language,The most active Academies of Arabic Language are found where?,damascus and cairo,hard,medium,data/set5/a3
Arabic_language,Hassan Massoudy is a master of what genre?,Hassan Massoudy,hard,medium,data/set5/a3
Berlin,Is Berlin the capital city of Germany?,Berlin is the capital city of Germany.,easy,easy,data/set3/a1
Berlin,Is Berlin the largest city in Germany?,Berlin is Germany's largest city.,easy,easy,data/set3/a1
Berlin,Is Schloss Charlottenburg the largest existing palace in Berlin?,Schloss Charlottenburg is the largest existing palace in Berlin. ,easy,easy,data/set3/a1
Berlin,Which building is the site of the German parliament?,The Reichstag building is the site of the German parliament. ,medium,easy,data/set3/a1
Berlin,Which two sports events did the Olympiastadion host?,The Olympiastadion hosted the 1936 Summer Olympics and the 2006 FIFA World Cup final. ,medium,medium,data/set3/a1
Berlin,Where is the Berliner Dom located?,The Berliner Dom is located on the Spree Island across from the site of the Berliner Stadtschloss and adjacent to the Lustgarten.,medium,medium,data/set3/a1
Berlin,Which Berlin building did architect Norman Foster remodel in the 1990s?,The Reichstag building was remodeled by architect Norman Foster in the 1990s.,hard,medium,data/set3/a1
Berlin,"Why is Vattenfall shifting towards reliance on cleaner, renewable energy sources?","Because burning lignite produces harmful emissions, Vattenfall has announced a commitment to shift towards reliance on cleaner, renewable energy sources.",hard,hard,data/set3/a1
Berlin,What are the names of the two zoos in Berlin?,The two zoos in Berlin are the Zoologischer Garten Berlin and the Tierpark Friedrichsfelde.,hard,hard,data/set3/a1
Berlin,Is Berlin the headquarters of Springer?,"Yes, Berlin is the headquarters of Springer.",easy,medium,data/set3/a1
Berlin,Does the Gendarmenmarkt border the French Cathedral?,"Yes, the Gendarmenmarkt borders the French Cathedral.",easy,medium,data/set3/a1
Berlin,Is the Nauen plain north of Berlin?,"No, the Nauen plain stretches to the west of Berlin.",easy,hard,data/set3/a1
Berlin,Where is the bust of Queen Nefertiti?,The bust of Queen Nefertiti is in the Altes Museum.,medium,hard,data/set3/a1
Berlin,Where does the German President live?,"The German President lives west of the center, Schloss Bellevue.",medium,hard,data/set3/a1
Berlin,When did Berlin give up its status as a free Hanseatic city?,In 1451 Berlin gave up its status as a free Hanseatic city.,medium,medium,data/set3/a1
Berlin,Which is the busiest airport in Berlin?,Tegel International Airport is the busiest airport in Berlin.,hard,hard,data/set3/a1
Berlin,How many occupation zones was Germany divided into after the war?,Germany was divided into four occupation zones after the war.,hard,hard,data/set3/a1
Berlin,Where was Popkomm held before moving to Berlin?,Popkomm was held in Cologne before moving to Berlin.,hard,hard,data/set3/a1
Blaise_Pascal,Who was Blaise Pascal's father?,"His father, √âtienne Pascal (1588‚Äì1651), who also had an interest in science and mathematics, was a local judge",easy,medium,data/set4/a4
Blaise_Pascal,Was Pascal a French mathematician?,yes,easy,easy,data/set4/a4
Blaise_Pascal,Did Pascal have poor health throughout his life?,yes,easy,easy,data/set4/a4
Blaise_Pascal,How old was Pascal when he lost his mother?,at the age of three,medium,medium,data/set4/a4
Blaise_Pascal,Who was Pascal's younger sister?,Jacqueline,medium,medium,data/set4/a4
Blaise_Pascal,What led Pascal to his religious conversion?,Two basic influences led him to his conversion: sickness and Jansenism,medium,medium,data/set4/a4
Blaise_Pascal,How old was Pascal when he died?,39,hard,too hard,data/set4/a4
Blaise_Pascal,Did Pascal write about cycloid before 1658?,no,hard,hard,data/set4/a4
Blaise_Pascal,Is there a programming language called Pascal?,yes,hard,hard,data/set4/a4
Butterfly,Do butterflies make sounds?,Some butterflies make sounds.,easy,medium,data/set1/a6
Butterfly,Do butterflies have two eyes?,"Yes, butterflies have two eyes.",easy,easy,data/set1/a6
Butterfly,Does a black moth mean that someone has died?,In the Philippines a black butterfly or moth mean that someone has died.,easy,hard,data/set1/a6
Butterfly,What is the outer layer of the cuticle made of?,The outer layer of the cuticle is made of of a mixture of chitin and specialized proteins.,medium,easy,data/set1/a6
Butterfly,Where was there a vast swarm of butterflies?,In Kyoto there was a vast swarm of butterflies.,medium,medium,data/set1/a6
Butterfly,What butterfly is migratory?,The Monarch butterfly is migratory.,medium,easy,data/set1/a6
Butterfly,Do butterflies carry more pollen than Hymenoptera?,"No, butterflies carry less pollen than Hymenoptera.",hard,hard,data/set1/a6
Butterfly,What allows the butterfly to evade predators?,A butterfly's hind wings allow the butterfly to evade predators.,hard,medium,data/set1/a6
Butterfly,What happens if a wing is removed?,If a ring is removed the other three will grow to a larger size.,hard,easy,data/set1/a6
Charles-Augustin_de_Coulomb,Was Charles-Augustin de Coulomb a Spanish Biologist?,No.,easy,easy,data/set4/a6
Charles-Augustin_de_Coulomb,Was the SI unit of charge named after Charles-Augustin de Coulomb?,Yes.,easy,easy,data/set4/a6
Charles-Augustin_de_Coulomb,Was Charles-Augustin de Coulomb ever employed at La Rochelle?,Yes.,easy,easy,data/set4/a6
Charles-Augustin_de_Coulomb,What is Charles-Augustin de Coulomb best known for?,He is best known for developing Coulomb's law.,medium,medium,data/set4/a6
Charles-Augustin_de_Coulomb,Whose ideas inspired Charles-Augustin de Coulomb's experiments on the resistance of masonries?,Pieter van Musschenbroek.,medium,medium,data/set4/a6
Charles-Augustin_de_Coulomb,When did Charles-Augustin de Coulomb join his father's family in Montpeillier?,From 1757 to 1759 he joined his father's family in Montpellier.,medium,medium,data/set4/a6
Charles-Augustin_de_Coulomb,Did Charles-Augustin de Coulomb come from a poor family?,No.,hard,easy,data/set4/a6
Charles-Augustin_de_Coulomb,What is Coulomb's law?,The definition of the electrostatic force of attraction and repulsion.,hard,medium,data/set4/a6
Charles-Augustin_de_Coulomb,Where is CollËge des Quatre-Nations located?,In Montpellier.,hard,hard,data/set4/a6
Chinese_language,Are all spoken varieties of Chinese tonal and analytical?,yes,easy,easy,data/set5/a7
Chinese_language,Is fifty percent or more of Korean vocabulary of Chinese origin?,Yes,easy,easy,data/set5/a7
Chinese_language,"Does ""ketchup"" come from the Minnan pronunciation of &#39853;&#27713; (koe-tsiap)?",Yes,easy,easy,data/set5/a7
Chinese_language,What is the most common romanization standard for Standard Mandarin today?,Hanyu Pinyin,medium,medium,data/set5/a7
Chinese_language,"What is the official standard language used by the People's Republic of China, the Republic of China, and Singapore (where it is called ""Huayu"")?","Putonghua / Guoyu, often called ""Mandarin""",medium,medium,data/set5/a7
Chinese_language,How many head entries for character definitions does the Zhonghua Zihai &#20013;&#21326;&#23383;&#28023; (1994) contain?,"85,568 head entries",medium,medium,data/set5/a7
Chinese_language,What does the PRC government classify as literacy amongst workers?,"knowledge of 2,000 characters",hard,medium,data/set5/a7
Chinese_language,How is South China linguistically different from North China?,South China displays more linguistic diversity,hard,hard,data/set5/a7
Chinese_language,&#20415;&#24403;/&#20415;&#30070; ìlunchbox or boxed lunchî (from bento) and &#26009;&#29702; ìprepared cuisineî are loan words from which language?,Japanese,hard,hard,data/set5/a7
Chinese_language,What is the standardized form of spoken chinese?,The standardized form of spoken Chinese is Standard Mandarin.,easy,medium,data/set5/a7
Chinese_language,Is diglossia a common feature in mainland China and Taiwan?,"Yes, diglossia is a common feature in mainland China and Taiwan.",easy,easy,data/set5/a7
Chinese_language,Do linguists often view Chinese as a language family?,"Yes, linguists often view Chinese as a language family.",easy,easy,data/set5/a7
Chinese_language,When did classical Chinese literature begin?,Classical Chinese literature began in the Spring and Autumn period.,medium,medium,data/set5/a7
Chinese_language,How does the government of the People's Republic of China often refer to all divisions of the Sinitic language(s) besides Standard Mandarin?,The government of the People's Republic of China refers to all divisions of the Sinitic language(s) besides Standard Mandarin as fangyan.,medium,hard,data/set5/a7
Chinese_language,When was Middle Chinese used?,"Middle Chinese was used during Southern and Northern Dynasties and the Sua, Tang, and Sang dynasties.",medium,medium,data/set5/a7
Chinese_language,How is the pronunciation of foreign words determined?,The pronunciation of foreign words is done by employing Chinese characters with similar pronuncations.,hard,hard,data/set5/a7
Chinese_language,What is the total number of Chinese words?,"The Hanyu Da Zidian includes 54,678 head entries for characters.",hard,hard,data/set5/a7
Chinese_language,What language was used in the Zhou and Southern Dynasties?,Old Chinese was the language common during the early and middle Zhou Dynasty.,hard,medium,data/set5/a7
Cougar,Is a cougar also known as a mountain lion?,A cougar is also known as a mountain lion.,easy,easy,data/set1/a2
Cougar,Are cougars larger than jaguars?,Cougars are not larger than jaguars.,easy,hard,data/set1/a2
Cougar,"Does the World Conservation Union consider the cougar a ""least concern"" species?","The World Conservation Union (IUCN) currently lists the cougar as a ""least concern"" species.",easy,easy,data/set1/a2
Cougar,What are some of the cougar's primary food sources?,"The cougar's primary food sources include ungulates such as deer, elk, and bighorn sheep, as well as domestic cattle, horses and sheep, particularly in the northern part of its range.",medium,easy,data/set1/a2
Cougar,How long are cougar adult males (from nose to tail)?,The length of adult males is around 2.4 meters (8 ft) long nose to tail.,medium,medium,data/set1/a2
Cougar,How long is an adult cougar's paw print?,An adult cougar's paw print is approximately 10 cm (4 inches) long.,medium,medium,data/set1/a2
Cougar,What are the three heaviest cats in the world?,"The three heaviest cats in the world are the tiger, lion and jaguar.",hard,hard,data/set1/a2
Cougar,"On average, are cougar males heavier than females?","On average, cougar males are heavier than females.",hard,hard,data/set1/a2
Cougar,What are the three cat species that are native to Canada?,"The three cat species that are native to Canada are the cougar, the bobcat and the Canadian lynx.",hard,medium,data/set1/a2
Cymbal,Is one of the parts of a cymbal called a disc?,no,easy,medium,data/set2/a6
Cymbal,Are ride cymbals very common?,yes,easy,easy,data/set2/a6
Cymbal,Does Fender make cymbals?,no,easy,hard,data/set2/a6
Cymbal,What part of the cymbal is the bell?,The center of a Cymbal,medium,medium,data/set2/a6
Cymbal,What's the timber of ancient cimbals like? disfluent,like that of small hand-bells or of the notes of the keyed harmonica,medium,hard,data/set2/a6
Cymbal,What does it sound like to play cymbals with a cello bow?,squealing car brakes,medium,medium,data/set2/a6
Cymbal,What are cymbals made of?,brass,hard,medium,data/set2/a6
Cymbal,How many cymbals typically go in a drum kit?,at least 3,hard,hard,data/set2/a6
Cymbal,What kinds of musical groups use cymbals?,"Cymbals are used in modern orchestras and many military, marching, concert and other bands",hard,too hard,data/set2/a6
Drum,Is the drum a member of the percussion group?,yes,easy,easy,data/set2/a4
Drum,Does each type of drum head serve its own musical purpose?,yes,easy,easy,data/set2/a4
Drum,Is the Aburukuwa a type of drum?,yes,easy,medium,data/set2/a4
Drum,How long has the basic design of the drum remained unchanged?,remained virtually unchanged for thousands of years,medium,medium,data/set2/a4
Drum,What is the second biggest factor affecting the sound produced by a drum?,tension,medium,easy,data/set2/a4
Drum,By what name are drums classified as under the percussion group?,membranophone,medium,medium,data/set2/a4
Drum,How do rock and roll drummers like their drumheads?,rock and roll drummer may prefer drums that sound loud and deep,hard,hard,data/set2/a4
Drum,Whare is the name for drums that have a set of wires held across some of all of the drum heads?,snares,hard,medium,data/set2/a4
Drum,Had the drums been used in Sri Lanka since Before Christ?,yes,hard,too hard,data/set2/a4
Drum,Are drums often used in music therapy?,yes,easy,easy,data/set2/a4
Drum,Do drums consist of at least eight membranes?,no,easy,easy,data/set2/a4
Drum,What has the most effect on how a drum sounds?,the drumhead,medium,medium,data/set2/a4
Drum,Who constructed a kit using diatonic and chromatically tuned drums?,Terry Bozzio,medium,medium,data/set2/a4
Drum,Drums are usually played by what?,"the hands, or by one or two sticks",medium,medium,data/set2/a4
Drum,Has the design of drums changed recently?,no,hard,medium,data/set2/a4
Drum,Can some cylindrical shell drums have no drum heads?,no,hard,hard,data/set2/a4
Drum,Does every drumhead make the same sound?,no,hard,easy,data/set2/a4
Eel,Is the electric eel a true eel?,No,easy,easy,data/set1/a8
Eel,Are most eels predators?,Yes,easy,easy,data/set1/a8
Eel,Is eel blood toxic to humans?,Yes,easy,easy,data/set1/a8
Eel,How many species of true eels are there?,approximately 800 species,medium,medium,data/set1/a8
Eel,Where is smoked eel considered a delicacy?,"Northern Germany, The Netherlands, Denmark, Sweden",medium,medium,data/set1/a8
Eel,How do eels begin life?,"As flat and transparent larvae, called leptocephali",medium,medium,data/set1/a8
Eel,What types of fins do eels have?,"Dorsal, anal, caudal, tail fins",hard,hard,data/set1/a8
Eel,What do leptocephali eat?,Marine snow,hard,hard,data/set1/a8
Eel,Do all eels live in fresh water?,No,hard,hard,data/set1/a8
Finnish_language,Is Finnish an official language of the European Union?,Yes,easy,easy,data/set5/a5
Finnish_language,Are the dialects of Finnish divided into two groups?,Yes,easy,easy,data/set5/a5
Finnish_language,Is Finnish threatened by English?,No,easy,easy,data/set5/a5
Finnish_language,When did Proto-Uralic language arrive in Finland?,Around 1900 BCE,medium,medium,data/set5/a5
Finnish_language,What are characteristic features of Finnish?,Vowel harmony and an agglutinative morphology,medium,medium,data/set5/a5
Finnish_language,Where is the Kven language spoken?,Norway,medium,medium,data/set5/a5
Finnish_language,For how long has the classification of dialects spoken outside of Finland been a controversial issue?,Since Finland's independence in 1917,hard,medium,data/set5/a5
Finnish_language,Who wrote the first novel in Finnish?,Aleksis Kivi,hard,medium,data/set5/a5
Finnish_language,What book defined the official Finnish language?,The Dictionary of Contemporary Finnish,hard,medium,data/set5/a5
Flute,What is the earliest extant transverse flute?,it dates from 433 BC,easy,medium,data/set2/a5
Flute,When does a flute produce sound?,when a stream of air directed across a hole in the instrument creates a vibration of air at the hole,easy,medium,data/set2/a5
Flute,How can a flute's volume be increased?,a flute's volume can generally be increased by making its resonator and tone holes larger,medium,medium,data/set2/a5
Flute,Do open-ended flutes have brighter timbres?,yes,medium,medium,data/set2/a5
Flute,Where was the oldest flute ever discovered found?,Germany,medium,too hard,data/set2/a5
Flute,Are Western flutes simpler than Indian flutes?,no,hard,hard,data/set2/a5
Flute,Why is a police whistle very wide for its pitch?,A flute's volume can generally be increased by making its resonator and tone holes larger,hard,medium,data/set2/a5
Flute,What are the two main varieties of Indian flutes?,"The first, the Bansuri. The second, the Venu or Pullanguzhal",hard,hard,data/set2/a5
Flute,Has the flute been dated to prehistoric times?,yes,easy,easy,data/set2/a5
Flute,Was the pan flute used in Greece?,yes,easy,easy,data/set2/a5
Flute,Can a flute be played with several different air sources?,yes,easy,easy,data/set2/a5
Flute,When was the pan flute used in Greece?,the 7th century BC,medium,medium,data/set2/a5
Flute,When did concert flutes begin appearing in concert ensembles?,the 16th-century,medium,medium,data/set2/a5
Flute,How many main varieties of Indian flutes are currently used?,two,medium,medium,data/set2/a5
Flute,What material is a chi flute fashioned from?,lacquered bamboo,hard,hard,data/set2/a5
Flute,How does a flute player change the pitch of the sound?,by opening and closing holes in the body of the instrument,hard,medium,data/set2/a5
Flute,What is the most basic form of the flute?,a flute can be an open tube which is blown like a bottle,hard,medium,data/set2/a5
Giant_Panda,Has the dragon historically served as China's national emblem?,yes,easy,easy,data/set1/a4
Giant_Panda,Do pandas hibernate?,no,easy,easy,data/set1/a4
Giant_Panda,Do giant pandas attack humans?,yes,easy,easy,data/set1/a4
Giant_Panda,What family is the panda a part of?,Ursidae (bear),medium,medium,data/set1/a4
Giant_Panda,How long does it take for the panda cubs skin to turn gray?,one to two weeks after birth,medium,medium,data/set1/a4
Giant_Panda,How many different names did Chinese writings give to the panda?,20,medium,hard,data/set1/a4
Giant_Panda,What foods do pandas eat?,bamboo,hard,medium,data/set1/a4
Giant_Panda,What are the two subspecies of giant pandas?,Ailuropoda melanoleuca melanoleuca and  Ailuropoda melanoleuca qinlingensis ,hard,hard,data/set1/a4
Giant_Panda,What is panda diplomacy?,Loans of Giant Pandas to American and Japanese zoos,hard,hard,data/set1/a4
Giant_Panda,Is the Giant Panda a mammal?,yes,easy,easy,data/set1/a4
Giant_Panda,Is the Giant Panda a terrestrial animal?,yes,easy,easy,data/set1/a4
Giant_Panda,Is the Giant Panda an endangered species?,yes,easy,easy,data/set1/a4
Giant_Panda,Where do Giant Pandas live?,a few mountain ranges in central china,medium,medium,data/set1/a4
Giant_Panda,When was the Giant Panda's genome sequenced?,2009,medium,medium,data/set1/a4
Giant_Panda,How many subspecies of the Giant Panda are there?,Two,medium,medium,data/set1/a4
Giant_Panda,Is the Giant Panda a carnivore?,Yes,hard,easy,data/set1/a4
Giant_Panda,Why is the Giant Panda an endangered species?,threatened by habitat loss,hard,medium,data/set1/a4
Giant_Panda,Is the population of wild Giant  Pandas growing?,"according to some reports, yes",hard,hard,data/set1/a4
Guitar,Is an acoustic guitar dependent on an external device?,No,easy,easy,data/set2/a7
Guitar,Is the battente smaller than a classical guitar?,Yes,easy,medium,data/set2/a7
Guitar,Is the flamenco guitar similar to the classical guitar?,Yes,easy,hard,data/set2/a7
Guitar,Where is the headstock located?,end of the guitar neck furthest from the body,medium,medium,data/set2/a7
Guitar,Whom are guitars made and repaired by?,luthiers,medium,easy,data/set2/a7
Guitar,What are modern guitar strings constructed of?,"metal, polymers, animal or plant product materials",medium,easy,data/set2/a7
Guitar,Why are Harp Guitars difficult to classify?,as there are many variations within this type of guitar,hard,medium,data/set2/a7
Guitar,What is the bridge used for?,transfer the vibration from the strings to the soundboard,hard,hard,data/set2/a7
Guitar,Which guitars use three single-coil pickups?,Fender Statocaster type guitars,hard,medium,data/set2/a7
Guitar,Is a guitar an instrument?,Yes,easy,easy,data/set2/a7
Guitar,Can guitars be divided into two broad categories?,Yes,easy,easy,data/set2/a7
Guitar,Do picks come in many shapes and sizes?,Yes,easy,easy,data/set2/a7
Guitar,How many strings does a guitar typically have?,Six,medium,medium,data/set2/a7
Guitar,What is located at the end of the guitar neck furthest from the body?,Headstock,medium,medium,data/set2/a7
Guitar,What are most electric guitar bodies made of?,Wood,medium,medium,data/set2/a7
Guitar,Why do some people believe that left-handed people should learn to play guitars as right-handed people do?,to standardise the instrument,hard,hard,data/set2/a7
Guitar,How old is the oldest known representation of a guitar-like intrument being played?,"3,300 years old",hard,hard,data/set2/a7
Guitar,What is the point called that is bolted or glued to the body of the guitar?,Neck Joint,hard,medium,data/set2/a7
Henri_Becquerel,Did Becquerel study science at the …cole des Ponts et ChaussÈes?,Yes,easy,easy,data/set4/a9
Henri_Becquerel,Did he become chief engineer in the Department of Bridges and Highways in 1892?,No,easy,easy,data/set4/a9
Henri_Becquerel,Was Becquerel a French physicist?,Yes,easy,easy,data/set4/a9
Henri_Becquerel,Whom did he share the Nobel Prize with?,Pierre and Marie Curie,medium,medium,data/set4/a9
Henri_Becquerel,When did he die?,1908,medium,medium,data/set4/a9
Henri_Becquerel,What is the SI unit for radioactivity called?,becquerel,medium,medium,data/set4/a9
Henri_Becquerel,"When Becquerel discovered radioactivity, whose work did he investigate?",Wilhelm Conrad Rˆntgen,hard,hard,data/set4/a9
Henri_Becquerel,Where are there craters named Becquerel?,Moon and Mars,hard,hard,data/set4/a9
Henri_Becquerel,Why did Bequerel win the Nobel Prize in Physics?,discovery of spontaneous radioactivity,hard,hard,data/set4/a9
Isaac_Newton,Was Isaac Newton British?,Yes.,easy,medium,data/set4/a1
Isaac_Newton,Was Isaac Newton religious?,It is not clear.,easy,too hard,data/set4/a1
Isaac_Newton,Did Isaac Newton die in 1898?,No.,easy,easy,data/set4/a1
Isaac_Newton,Where was Isaac Newton born?,At Woolsthorpe Manor in Woosthorpe-by-Colsterworth.,medium,medium,data/set4/a1
Isaac_Newton,Who shares credit with Isaac Newton for developing calculus?,Gottfried Leibniz.,medium,medium,data/set4/a1
Isaac_Newton,When did Isaac Newton discover the generalized binomial theorem?,In 1665.,medium,medium,data/set4/a1
Isaac_Newton,Did the Occult influence Newton's theory of gravitation?,Yes.,hard,hard,data/set4/a1
Isaac_Newton,Were Newton's religious views consistent with Anglicanism?,No.,hard,hard,data/set4/a1
Isaac_Newton,Which fruit inspired Isaac Newton's theory of gravitation?,The apple.,hard,medium,data/set4/a1
Isaac_Newton,Was Sir Isaac Newton an English physicist and mathematician?,yes,easy,easy,data/set4/a1
Isaac_Newton,Did he build the first practical reflecting telescope?,yes,easy,easy,data/set4/a1
Isaac_Newton,"Was Isaac Newton educated at The King's Schol, Grantham?",yes,easy,easy,data/set4/a1
Isaac_Newton,When was the Principia published?,1687,medium,medium,data/set4/a1
